time (Z=Zulu=UTC); tripId; stop.name; line.name; direction; when; plannedWhen; delay

2022-03-16T17:51:51.102Z;1|24914|0|86|16032022;Theater des Westens;M49;Heerstr./Nennhauser Damm;2022-03-16T18:56:00+01:00;2022-03-16T18:56:00+01:00;0
2022-03-16T17:51:51.102Z;1|24756|0|86|16032022;Theater des Westens;M49;S+U Zoologischer Garten;2022-03-16T18:57:00+01:00;2022-03-16T18:58:00+01:00;-60
2022-03-16T17:51:51.102Z;1|28276|0|86|16032022;Theater des Westens;X34;S+U Zoologischer Garten;2022-03-16T19:00:00+01:00;2022-03-16T19:00:00+01:00;0
2022-03-16T17:51:51.102Z;1|28398|0|86|16032022;Theater des Westens;X34;Kladow, Gutsstr.;2022-03-16T19:00:00+01:00;2022-03-16T19:00:00+01:00;0
2022-03-16T17:51:51.102Z;1|24862|0|86|16032022;Theater des Westens;M49;Staaken, Reimerweg;2022-03-16T19:06:00+01:00;2022-03-16T19:06:00+01:00;0
2022-03-16T17:51:51.102Z;1|24806|0|86|16032022;Theater des Westens;M49;S+U Zoologischer Garten;2022-03-16T19:08:00+01:00;2022-03-16T19:08:00+01:00;0
2022-03-16T17:51:51.102Z;1|28355|0|86|16032022;Theater des Westens;X34;Kladow, Hottengrund;2022-03-16T19:10:00+01:00;2022-03-16T19:10:00+01:00;0
2022-03-16T17:51:51.102Z;1|28321|0|86|16032022;Theater des Westens;X34;S+U Zoologischer Garten;2022-03-16T19:11:00+01:00;2022-03-16T19:09:00+01:00;120
2022-03-16T17:51:51.102Z;1|24914|1|86|16032022;Theater des Westens;M49;Heerstr./Nennhauser Damm;2022-03-16T19:16:00+01:00;2022-03-16T19:16:00+01:00;0
2022-03-16T17:51:51.102Z;1|28277|0|86|16032022;Theater des Westens;X34;S+U Zoologischer Garten;2022-03-16T19:19:00+01:00;2022-03-16T19:18:00+01:00;60
2022-03-16T17:51:51.102Z;1|24757|0|86|16032022;Theater des Westens;M49;S+U Zoologischer Garten;2022-03-16T19:20:00+01:00;2022-03-16T19:20:00+01:00;
2022-03-16T17:51:51.102Z;1|28399|0|86|16032022;Theater des Westens;X34;Kladow, Gutsstr.;2022-03-16T19:20:00+01:00;2022-03-16T19:20:00+01:00;0
2022-03-16T17:51:51.231Z;1|28397|0|86|16032022;S Messe Nord/ICC;X34;Kladow, Gutsstr.;2022-03-16T18:50:00+01:00;2022-03-16T18:51:00+01:00;-60
2022-03-16T17:51:51.231Z;1|28757|5|86|16032022;S Messe Nord/ICC;X49;U Wilmersdorfer Str./S Charlottenburg;2022-03-16T18:55:00+01:00;2022-03-16T18:55:00+01:00;0
2022-03-16T17:51:51.231Z;1|28790|0|86|16032022;S Messe Nord/ICC;X49;Staaken, Hahneberg;2022-03-16T18:55:00+01:00;2022-03-16T18:56:00+01:00;-60
2022-03-16T17:51:51.231Z;1|24806|0|86|16032022;S Messe Nord/ICC;M49;S+U Zoologischer Garten;2022-03-16T18:56:00+01:00;2022-03-16T18:56:00+01:00;0
2022-03-16T17:51:51.231Z;1|10066|2|86|16032022;U Kaiserdamm;139;S Messe Nord/ICC;2022-03-16T18:57:00+01:00;2022-03-16T18:56:00+01:00;60
2022-03-16T17:51:51.231Z;1|10066|2|86|16032022;Messedamm/ZOB;139;S Messe Nord/ICC;2022-03-16T18:58:00+01:00;2022-03-16T18:57:00+01:00;60
2022-03-16T17:51:51.231Z;1|24861|0|86|16032022;S Messe Nord/ICC;M49;Staaken, Reimerweg;2022-03-16T18:58:00+01:00;2022-03-16T18:59:00+01:00;-60
2022-03-16T17:51:51.231Z;1|28321|0|86|16032022;S Messe Nord/ICC;X34;S+U Zoologischer Garten;2022-03-16T19:00:00+01:00;2022-03-16T18:58:00+01:00;120
2022-03-16T17:51:51.231Z;1|28354|0|86|16032022;S Messe Nord/ICC;X34;Kladow, Hottengrund;2022-03-16T19:01:00+01:00;2022-03-16T19:01:00+01:00;0
